Year,Sector,Value
2018,Public administration and defence; compulsory social security,4986.032866
2018,Education,2745.212125
2018,Human health and social work activities,1905.937936
2018,"Arts, entertainment and recreation",198.449069
2018,Other service activities,1591.72691
2018,Activities of households as employers; undifferentiated goods -and of households for own use,529.197518
2018,Activities of extraterritorial organizations and bodies,0.0
2018,Total Value added at basic prices,60865.98329
2018,Net Taxes on Products,640.82512
2018,Gross Domestic Product at Current Prices,61506.80841
2019,"Agriculture,forestry and fishing",165.374224
2019,Mining and quarrying,8971.551674
2019,Manufacturing,10712.115386
2019,"Electricity, gas, steam and air conditioning supply",566.406719
2019,"Water supply; sewerage, waste management and remediation activities",334.882804
2019,Construction,4940.554954
2019,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2410.329321
2019,Transportation and storage,2943.661194
2019,Accommodation and food service activities,1422.21833
2019,Information and communication,2038.237316
2019,Financial and insurance activities,9496.614836
2019,Realestate activities,2257.358163
2019,"Professional,scientific and technical activities",1165.888282
2019,Administrative and support service activities,1790.175979
2019,Public administration and defence; compulsory social security,4990.167221
2019,Education,2658.390657
2019,Human health and social work activities,1922.475359
2019,"Arts, entertainment and recreation",198.449069
2019,Other service activities,1628.93611
2019,Activities of households as employers; undifferentiated goods -and of households for own use,508.52574
2019,Activities of extraterritorial organizations and bodies,0.0
2019,Total Value added at basic prices,61167.79125
2019,Net Taxes on Products,1703.354511
2019,Gross Domestic Product at Current Prices,62871.145761
2020,"Agriculture,forestry and fishing",165.374224
2020,Mining and quarrying,6284.220527
2020,Manufacturing,10050.618488
2020,"Electricity, gas, steam and air conditioning supply",653.228186
2020,"Water supply; sewerage, waste management and remediation activities",305.942315
2020,Construction,4473.37277
2020,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2315.239142
2020,Transportation and storage,2340.045275
2020,Accommodation and food service activities,806.199344
2020,Information and communication,1955.550204
2020,Financial and insurance activities,9761.213595
2020,Realestate activities,2182.939762
2020,"Professional,scientific and technical activities",1070.798103
2020,Administrative and support service activities,628.422053
2020,Public administration and defence; compulsory social security,4990.167221
2020,Education,2633.584524
2020,Human health and social work activities,1860.460025
2020,"Arts, entertainment and recreation",115.761957
2020,Other service activities,1083.20117
2020,Activities of households as employers; undifferentiated goods -and of households for own use,438.241695
2020,Activities of extraterritorial organizations and bodies,0.0
2020,Total Value added at basic prices,54164.192847
2020,Net Taxes on Products,1542.114643
2020,Gross Domestic Product at Current Prices,55706.307489
2021,"Agriculture,forestry and fishing",169.50858
2021,Mining and quarrying,9575.167593
2021,Manufacturing,13031.488883
2021,"Electricity, gas, steam and air conditioning supply",669.765609
2021,"Water supply; sewerage, waste management and remediation activities",310.076671
2021,Construction,4473.37277
2021,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2331.776564
2021,Transportation and storage,2645.98759
2021,Accommodation and food service activities,872.349034
2021,Information and communication,1967.95327
2021,Financial and insurance activities,10406.17307
2021,Realestate activities,2207.745896
2021,"Professional,scientific and technical activities",1170.022638
2021,Administrative and support service activities,653.228186
2021,Public administration and defence; compulsory social security,5023.242066
2021,Education,2670.793724
2021,Human health and social work activities,1926.609714
2021,"Arts, entertainment and recreation",161.239869
2021,Other service activities,1079.066814
2021,Activities of households as employers; undifferentiated goods -and of households for own use,425.838628
2021,Activities of extraterritorial organizations and bodies,0.0
2021,Total Value added at basic prices,61808.616369
2021,Net Taxes on Products,1674.414022
2021,Gross Domestic Product at Current Prices,63483.030392
2022,"Agriculture,forestry and fishing",173.642936
2022,Mining and quarrying,12609.784611
2022,Manufacturing,15115.20411
2022,"Electricity, gas, steam and air conditioning supply",760.721432
2022,"Water supply; sewerage, waste management and remediation activities",314.211026
2022,Construction,4688.359262
2022,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2381.388831
2022,Transportation and storage,2918.855061
2022,Accommodation and food service activities,1041.857614
2022,Information and communication,2224.283318
2022,Financial and insurance activities,10786.533786
2022,Realestate activities,2306.97043
2022,"Professional,scientific and technical activities",1364.337351
2022,Administrative and support service activities,727.646587
2022,Public administration and defence; compulsory social security,5304.378248
2022,Education,2720.405991
2022,Human health and social work activities,1926.609714
2022,"Arts, entertainment and recreation",256.330048
2022,Other service activities,1116.276015
2022,Activities of households as employers; undifferentiated goods -and of households for own use,467.182184
2022,Activities of extraterritorial organizations and bodies,0.0
2022,Total Value added at basic prices,69242.187756
2022,Net Taxes on Products,2976.736039
2022,Gross Domestic Product at Current Prices,72218.923795
2023,"Agriculture,forestry and fishing",177.777291
2023,Mining and quarrying,10947.773655
2023,Manufacturing,14453.707213
2023,"Electricity, gas, steam and air conditioning supply",731.780943
2023,"Water supply; sewerage, waste management and remediation activities",289.404893
2023,Construction,4758.643307
2023,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2377.254476
2023,Transportation and storage,3009.810884
2023,Accommodation and food service activities,1112.141659
2023,Information and communication,2377.254476
2023,Financial and insurance activities,11357.074861
2023,Realestate activities,2439.26981
2023,"Professional,scientific and technical activities",1451.158819
2023,Administrative and support service activities,835.139833
2023,Public administration and defence; compulsory social security,5585.514429
2023,Education,2798.958748
2023,Human health and social work activities,1992.759404
2023,"Arts, entertainment and recreation",305.942315
2023,Other service activities,1141.082148
2023,Activities of households as employers; undifferentiated goods -and of households for own use,487.853962
2023,Activities of extraterritorial organizations and bodies,0.0
2023,Total Value added at basic prices,68671.646682
2023,Net Taxes on Products,3133.841552
2023,Gross Domestic Product at Current Prices,28.940489e12
